"By items",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Live births(persons)",438420,406243,357771,326822,302676,272337,260562,249186,230028,238317
"Deaths(persons)",275895,280827,285534,298820,295110,304948,317680,372939,352511,358569
"Natural increase(persons)",162525,125416,72237,28002,7566,-32611,-57118,-123753,-122483,-120252
"Crude birth rate(per 1,000 population)",8.6,7.9,7.0,6.4,5.9,5.3,5.1,4.9,4.5,4.7
"Crude death rate(per 1,000 population)",5.4,5.5,5.6,5.8,5.7,5.9,6.2,7.3,6.9,7.0
"Natural increase rate(per 1,000 population)",3.2,2.5,1.4,0.5,0.1,-0.6,-1.1,-2.4,-2.4,-2.4
"Total fertility rate(persons)",1.239,1.172,1.052,0.977,0.918,0.837,0.808,0.778,0.721,0.748
"Masculinity of birth(persons)",105.3,105.0,106.3,105.4,105.5,104.8,105.1,104.7,105.1,105.0
"Infant mortality rate(per 1,000 live births)",2.7,2.8,2.8,2.8,2.7,2.5,2.4,2.3,2.5,2.4
"Marriages(cases)",302828,281635,264455,257622,239159,213502,192507,191690,193657,222412
"Crude marriage rate(per 1,000 population)",5.9,5.5,5.2,5.0,4.7,4.2,3.8,3.7,3.8,4.4
"Divorces(cases)",109153,107328,106032,108684,110831,106500,101673,93232,92394,91151
"Crude divorce rate(per 1,000 population)",2.1,2.1,2.1,2.1,2.2,2.1,2.0,1.8,1.8,1.8
"Life expectancy at birth-total(age)",82.1,82.4,82.7,82.7,83.3,83.5,83.6,82.7,83.5,83.7
"Life expectancy at birth-male(age)",79.0,79.3,79.7,79.7,80.3,80.5,80.6,79.9,80.6,80.8
"Life expectancy at birth-female(age)",85.2,85.4,85.7,85.7,86.3,86.5,86.6,85.6,86.4,86.6
